,owner,project name,issue id,clone_link,clone_links
177,planetlabs,planet-client-python,43,,https://github.com/planetlabs/planet-client-python.git
178,saltstack,salt,24803,,https://github.com/saltstack/salt.git
179,kartoza,geonode,370,,https://github.com/kartoza/geonode.git
180,google,blockly,1444,,https://github.com/google/blockly.git
181,bokeh,bokeh,6054,,https://github.com/bokeh/bokeh.git
182,ganga-devs,ganga,1042,,https://github.com/ganga-devs/ganga.git
183,ansible,ansible,29164,,https://github.com/ansible/ansible.git
184,madisonhicks,blob,22,,https://github.com/madisonhicks/blob.git
185,mozilla-services,autopush,768,,https://github.com/mozilla-services/autopush.git
186,GetStream,stream-django,37,,https://github.com/GetStream/stream-django.git
187,ansible,ansible,33237,,https://github.com/ansible/ansible.git
188,tryolabs,luminoth,231,,https://github.com/tryolabs/luminoth.git
189,EUDAT-B2SHARE,b2share,482,,https://github.com/EUDAT-B2SHARE/b2share.git
190,saltstack,salt,41306,,https://github.com/saltstack/salt.git
191,pydata,xarray,1988,,https://github.com/pydata/xarray.git
192,pydata,xarray,2177,,https://github.com/pydata/xarray.git
193,pfnet,chainer,434,,https://github.com/pfnet/chainer.git
194,LLNL,spack,2540,,https://github.com/LLNL/spack.git
195,ansible,ansible,41322,,https://github.com/ansible/ansible.git
196,miguelgrinberg,Flask-SocketIO,188,,https://github.com/miguelgrinberg/Flask-SocketIO.git
197,voc,voctomix,100,,https://github.com/voc/voctomix.git
198,catkin,catkin_tools,311,,https://github.com/catkin/catkin_tools.git
199,INM-6,h5py_wrapper,80,,https://github.com/INM-6/h5py_wrapper.git
200,tomv564,LSP,77,,https://github.com/tomv564/LSP.git
201,ansible,ansible,45047,,https://github.com/ansible/ansible.git
202,beetbox,beets,2972,,https://github.com/beetbox/beets.git
203,LLNL,spack,1815,,https://github.com/LLNL/spack.git
204,shopkeep,shpkpr,29,,https://github.com/shopkeep/shpkpr.git
205,pandas-dev,pandas,17959,,https://github.com/pandas-dev/pandas.git
206,ansible,ansible,31891,,https://github.com/ansible/ansible.git
207,pantsbuild,pants,6621,,https://github.com/pantsbuild/pants.git
208,mitodl,micromasters,2963,,https://github.com/mitodl/micromasters.git
209,poldracklab,mriqc,693,,https://github.com/poldracklab/mriqc.git
210,ansible,ansible,45729,,https://github.com/ansible/ansible.git
211,s4w3d0ff,python-poloniex,125,,https://github.com/s4w3d0ff/python-poloniex.git
212,nansencenter,nansat,236,,https://github.com/nansencenter/nansat.git
213,ansible,ansible,28388,,https://github.com/ansible/ansible.git
214,renisac,pdnssdk-py,6,,https://github.com/renisac/pdnssdk-py.git
215,agrc,warehouse,20,,https://github.com/agrc/warehouse.git
216,capitalone,cloud-custodian,3123,,https://github.com/capitalone/cloud-custodian.git
217,ansible,ansible,27118,,https://github.com/ansible/ansible.git
218,SUSE,azurectl,99,,https://github.com/SUSE/azurectl.git
219,ansible,ansible,38320,,https://github.com/ansible/ansible.git
220,bokeh,bokeh,6731,,https://github.com/bokeh/bokeh.git
221,ansible,ansible,38040,,https://github.com/ansible/ansible.git
222,streamlink,streamlink,147,,https://github.com/streamlink/streamlink.git
223,ansible,ansible,18510,,https://github.com/ansible/ansible.git
224,librosa,librosa,788,,https://github.com/librosa/librosa.git
225,ansible,ansible,29691,,https://github.com/ansible/ansible.git
226,saltstack,salt,16508,,https://github.com/saltstack/salt.git
227,coala-analyzer,coala,256,,https://github.com/coala-analyzer/coala.git
228,pandas-dev,pandas,19497,,https://github.com/pandas-dev/pandas.git
229,Sixdsn,terra-terminal,95,,https://github.com/Sixdsn/terra-terminal.git
230,ansible,ansible,25075,,https://github.com/ansible/ansible.git
231,ansible,ansible,32238,,https://github.com/ansible/ansible.git
232,tomchristie,django-rest-framework,3674,,https://github.com/tomchristie/django-rest-framework.git
233,ilogue,niprov,135,,https://github.com/ilogue/niprov.git
234,RIOT-OS,RIOT,3329,,https://github.com/RIOT-OS/RIOT.git
235,Alignak-monitoring,alignak,564,,https://github.com/Alignak-monitoring/alignak.git
236,mitodl,lore,207,,https://github.com/mitodl/lore.git
237,mozilla,normandy,1239,,https://github.com/mozilla/normandy.git
238,christabor,flask_jsondash,58,,https://github.com/christabor/flask_jsondash.git
